time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
5.501860999999999891e+00,1.781252157387065438e-01,6.240439167733335957e-02,5.983830862812264950e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.505758000000000152e+00,1.730512343380308238e-01,1.343347522898333535e-01,9.507126781090013967e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.509706000000000437e+00,2.013865307213773548e-01,1.343347522898333535e-01,2.411564550700081022e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.513659999999999783e+00,2.153767227666723016e-01,1.559131239098333621e-01,2.039057611969793404e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.517612999999999879e+00,2.320614184206934993e-01,1.103577362658333533e-01,6.940081859660653940e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.521484000000000059e+00,2.194296051245441248e-01,1.103577362658333533e-01,5.649118832734538742e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.525383999999999851e+00,2.161303475001492558e-01,1.774924776148333605e-01,1.067134507144628097e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.529348999999999847e+00,2.123773078792172697e-01,2.542178682398333889e-01,2.523572179597924348e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.533252000000000059e+00,2.450646332144099659e-01,2.542178682398333889e-01,2.698821148807551470e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.537182999999999744e+00,1.169876711891806309e-01,1.631059144498333835e-01,5.117599460699977232e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.541064999999999685e+00,2.122247468507918455e-01,2.158546818848333382e-01,5.015941653977276302e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.545041999999999582e+00,2.041182298880066526e-01,2.158546818848333382e-01,3.438282664206783403e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.548960000000000115e+00,2.406883049807824193e-01,1.583113754798333717e-01,3.604553425551302870e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.552840999999999916e+00,2.099704952834002825e-01,1.774924776148333605e-01,8.233686458771957706e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.556773999999999880e+00,2.110647426535585680e-01,1.774924776148333605e-01,8.643661788574820426e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.560666000000000331e+00,1.940870060957990972e-01,2.038663702898333707e-01,6.723999466874876901e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.564608999999999916e+00,2.236021020941141302e-01,2.038663702898333707e-01,4.677704026838773455e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.568505000000000038e+00,2.074978351848777436e-01,1.463230638848333487e-01,2.101382094091888697e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.572424999999999962e+00,2.215580115928101890e-01,1.798897470998333803e-01,1.205898407334620170e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.576389999999999958e+00,2.398168279921275570e-01,1.798897470998333803e-01,2.162395006902359806e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.580326999999999593e+00,2.292864242592091983e-01,1.894807892098333557e-01,1.152161470078657962e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.584213000000000093e+00,1.886458840830922412e-01,1.583113754798333717e-01,7.009062655933566421e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.588129000000000346e+00,1.871244084953307407e-01,1.583113754798333717e-01,6.499135148928927852e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.592036000000000229e+00,1.571846607247611161e-01,8.638101486733336387e-02,2.443708053111938450e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.595946999999999782e+00,1.664065514090733444e-01,9.357410003283335442e-02,2.606747628715568865e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.599863000000000035e+00,1.747707292478359875e-01,9.357410003283335442e-02,3.186665721008868912e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.603806999999999761e+00,1.949043534941488076e-01,1.367320217748333455e-01,1.891013800718716054e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.607693000000000261e+00,2.131305438673543051e-01,2.997738451348334054e-01,1.831089623148657863e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.611617999999999995e+00,2.806530365757780032e-01,2.997738451348334054e-01,5.707858495041943968e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.615522999999999598e+00,2.625133614979624497e-01,2.014691008048334064e-01,2.319782611056457888e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.619445999999999941e+00,2.455954279621863634e-01,1.990718313198333589e-01,1.497285349382988795e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.623433000000000348e+00,2.109962278281773962e-01,1.990718313198333589e-01,2.683367831591395788e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.627350999999999992e+00,2.043300125247728971e-01,2.086618913448333446e-01,3.988710334071552017e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.631273000000000195e+00,2.481768131452231074e-01,1.271413724988333660e-01,6.990447631097255199e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.635188000000000308e+00,1.815795265386164203e-01,1.271413724988333660e-01,1.653141744144004388e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.639101000000000141e+00,2.135606165361831899e-01,1.702996870748333391e-01,1.248528918544023619e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.643067000000000277e+00,1.976416181390501237e-01,2.302412450498333429e-01,1.204023049144099106e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.646944000000000408e+00,2.350018963723190524e-01,2.302412450498333429e-01,1.721780808342963931e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.650859999999999772e+00,2.229481034693971964e-01,1.846852681548333819e-01,1.071852947416443713e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.654805999999999777e+00,2.068627123104818111e-01,1.726969565598333589e-01,8.745923106399537683e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.658741000000000021e+00,1.820936185188379852e-01,1.726969565598333589e-01,1.849429999228031918e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.662582999999999700e+00,1.575315033350985772e-01,1.055624116278333635e-01,1.453473066421287485e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.666485999999999912e+00,1.595422009698150845e-01,9.117633950533336751e-02,2.310824859178452206e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.670420000000000016e+00,1.496630991235203822e-01,9.117633950533336751e-02,1.738872504806061037e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.674349000000000309e+00,1.020585687886477189e-01,3.123468332183336124e-02,2.212710726610032097e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.678295000000000314e+00,1.222983475001324649e-01,3.123468332183336124e-02,3.611112945682843911e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.682205999999999868e+00,4.604072532887393265e-02,8.398335254833336205e-02,4.327920113312965639e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.686141000000000112e+00,1.277342740984206415e-01,8.638101486733336387e-02,9.266347067771596446e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.690055000000000085e+00,1.556148863790074444e-01,8.638101486733336387e-02,2.344641047503617237e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.693985999999999770e+00,1.337738475001462035e-01,1.295390348178333539e-01,7.032972773603290116e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.697877000000000081e+00,1.231593656675133985e-01,8.877867718633336569e-02,6.785287162248286597e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.701800000000000423e+00,1.575231739869735748e-01,8.877867718633336569e-02,2.324257859958077932e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.705691999999999986e+00,1.751138531722702396e-01,1.103577362658333533e-01,2.169735497572919392e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.709617999999999860e+00,1.763958084998602516e-01,1.487203333698333685e-01,5.924871362891030724e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.713537999999999784e+00,1.846766074633627852e-01,1.487203333698333685e-01,8.809930777730053120e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.717449000000000225e+00,2.004480040009539721e-01,1.007670869898333599e-01,4.717697884872566472e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.721365999999999730e+00,2.073953826790972954e-01,1.151530609038333708e-01,4.162342761822104831e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.725284000000000262e+00,2.226764069574507232e-01,1.151530609038333708e-01,5.531088580270364652e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.729193000000000424e+00,2.070197713359576142e-01,1.942763102648333851e-01,2.788855850032786327e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.733192999999999984e+00,2.136970077056208339e-01,1.295390348178333539e-01,3.591662592433982337e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.737111999999999767e+00,2.049206077006342497e-01,1.295390348178333539e-01,2.945275062220700235e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.741139999999999688e+00,1.762841844065778929e-01,1.103577362658333533e-01,2.240620398412052072e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.744926000000000421e+00,1.857224426027777042e-01,6.719971631533336320e-02,6.299847421386439716e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.748845000000000205e+00,1.346124239921344667e-01,6.719971631533336320e-02,2.153851530764585021e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.752772000000000219e+00,1.047242016567775380e-01,-9.525674309666640888e-03,5.367965102879288519e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.756694999999999673e+00,1.228881114753068715e-01,-4.698783126851666658e-01,1.308811893295983175e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.760615999999999737e+00,1.062803966257135357e-01,1.439248123148333669e-01,3.238029354966358991e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.764512999999999998e+00,1.484318760127933956e-01,7.439270327233335478e-02,2.600711946613284975e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.768407999999999980e+00,1.125466783484156963e-01,1.055624116278333635e-01,8.304205633645292753e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.772316000000000003e+00,1.540702243131804039e-01,1.055624116278333635e-01,1.288249093576528115e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.776226000000000305e+00,1.490012975549745988e-01,1.031647493088333617e-01,1.160407714292011200e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.780111999999999917e+00,1.611650455855659914e-01,1.031647493088333617e-01,1.756399953049050111e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.784050999999999831e+00,1.748048842604585928e-01,1.199483855418333467e-01,1.649548033269956360e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.787952999999999903e+00,2.030274981904494069e-01,1.631059144498333835e-01,1.080230481131655706e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.791883999999999588e+00,1.807905447425941503e-01,1.631059144498333835e-01,3.432038151806816872e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.795785000000000409e+00,1.581353940839953509e-01,1.079600739468333653e-01,1.374353322162085722e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.799676999999999971e+00,1.903258064750072975e-01,6.000672935833335775e-02,7.510871869082073049e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.803556000000000381e+00,1.876824859329495609e-01,6.000672935833335775e-02,7.218295228205564573e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.807470999999999606e+00,1.575402642823959809e-01,1.607086449648333359e-01,2.472616798800827964e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.811391999999999669e+00,1.552069500323032258e-01,1.199483855418333467e-01,7.826280760809310733e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.815300999999999831e+00,1.824250801418063617e-01,1.199483855418333467e-01,2.072895286001073811e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.819225000000000314e+00,1.797299050657503727e-01,1.463230638848333487e-01,7.802350086278972419e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.823140999999999678e+00,1.747440690395496432e-01,1.487203333698333685e-01,5.417635937636151866e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.827128000000000085e+00,1.944606415304637181e-01,1.487203333698333685e-01,1.295385606398772038e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.830987000000000364e+00,2.266709490039229280e-01,1.679014355048333573e-01,2.045902761379169155e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.834926000000000279e+00,2.467513860879968490e-01,2.374340355898333366e-01,2.681205958915993184e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.838832000000000022e+00,2.564369143998224132e-01,2.374340355898333366e-01,5.117005059165227743e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.842788999999999788e+00,2.397083755036710784e-01,1.798897470998333803e-01,2.155894945709711796e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.846707999999999572e+00,2.121678499976500376e-01,1.295390348178333539e-01,3.474429792845654674e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.850635999999999726e+00,1.992694598441158149e-01,1.295390348178333539e-01,2.562975597830000618e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.854550999999999839e+00,1.930503334255515568e-01,1.607086449648333359e-01,7.769467162811391492e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.858468000000000231e+00,2.133740613873733594e-01,1.007670869898333599e-01,5.932357331749130713e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.862419000000000047e+00,1.837889069574512035e-01,1.007670869898333599e-01,3.357238593809235283e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.866304999999999659e+00,1.827941764329850116e-01,1.247437101798333642e-01,1.839023117694199849e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.870237000000000371e+00,1.587126216787435595e-01,1.151530609038333708e-01,1.096910583170582348e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.874139000000000443e+00,1.729202073271647322e-01,1.151530609038333708e-01,1.787803386688248397e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.878061999999999898e+00,1.713612295576183442e-01,9.357410003283335442e-02,2.943246825899145658e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.881952000000000069e+00,1.973916715419612444e-01,9.357410003283335442e-02,5.046582410165550980e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.885874000000000272e+00,1.910201391460457643e-01,1.223460478608333624e-01,2.463193404733273750e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.889820000000000277e+00,1.825975178298246959e-01,1.750952081298333685e-01,1.558094053292478215e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.893689000000000178e+00,1.940103241606543349e-01,1.750952081298333685e-01,3.937340499782173570e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.897629000000000232e+00,2.134701857006255921e-01,8.398335254833336205e-02,7.599529082885049247e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.901519999999999655e+00,2.059953228696045358e-01,1.415275428298333749e-01,2.280560518352513222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.905452999999999619e+00,1.974263819999961811e-01,1.415275428298333749e-01,1.783281399892061581e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.909340000000000259e+00,1.936584793682794015e-01,1.702996870748333391e-01,5.062141746857228702e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.913253000000000092e+00,2.110446332144366721e-01,1.463230638848333487e-01,2.316327697645413908e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.917175000000000296e+00,2.198371871462327931e-01,1.463230638848333487e-01,2.894305836012395217e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.921064999999999579e+00,2.144896229894790451e-01,2.326385145348333627e-01,2.397997619766404883e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.924985999999999642e+00,2.339731847464570080e-01,1.750952081298333685e-01,2.080788286202755744e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.928912999999999656e+00,2.234399446210115769e-01,1.750952081298333685e-01,1.507189668741567290e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.932798000000000016e+00,2.135974452857620776e-01,1.607086449648333359e-01,1.691269499183816749e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.936727000000000309e+00,2.261723298045534847e-01,2.110601429148333263e-01,3.594901838628251911e-02,0.000000000000000000e+00,0.000000000000000000e+00
